Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
C033_S29_L001_R1_001	434.0	171.0	318.0	122.0	332.0	105.0	180.0	4426.0	151.0	153.0	5217.0	998.0	93.0	2776.0	138.0	53.0	67.0	76.0	78.0	58.0	87.0	62.0	12486.0	203509.0
C033_S29_L001_R2_001	440.0	179.0	330.0	127.0	340.0	105.0	185.0	4493.0	155.0	160.0	5294.0	1003.0	96.0	2810.0	149.0	56.0	66.0	76.0	77.0	57.0	88.0	62.0	11283.0	204459.0
C034_S30_L001_R1_001	239.0	96.0	186.0	66.0	194.0	57.0	116.0	2346.0	75.0	78.0	2711.0	560.0	53.0	1515.0	77.0	25.0	33.0	37.0	47.0	24.0	46.0	30.0	6500.0	107146.0
C034_S30_L001_R2_001	247.0	98.0	191.0	69.0	204.0	57.0	118.0	2393.0	77.0	81.0	2788.0	582.0	54.0	1538.0	77.0	26.0	34.0	38.0	48.0	24.0	47.0	31.0	5642.0	107793.0
C035_S31_L001_R1_001	293.0	115.0	230.0	83.0	206.0	68.0	120.0	2294.0	92.0	98.0	3207.0	746.0	56.0	1612.0	95.0	29.0	31.0	47.0	61.0	46.0	71.0	36.0	7876.0	122432.0
C035_S31_L001_R2_001	299.0	117.0	233.0	85.0	209.0	67.0	123.0	2317.0	93.0	98.0	3252.0	759.0	60.0	1622.0	97.0	30.0	32.0	49.0	60.0	46.0	72.0	37.0	6650.0	123537.0
C036_S32_L001_R1_001	300.0	118.0	227.0	69.0	245.0	75.0	120.0	2508.0	114.0	111.0	3238.0	632.0	59.0	1536.0	76.0	38.0	37.0	42.0	40.0	31.0	59.0	31.0	7698.0	121301.0
C036_S32_L001_R2_001	306.0	123.0	233.0	69.0	245.0	76.0	121.0	2563.0	118.0	115.0	3322.0	643.0	61.0	1576.0	77.0	39.0	39.0	43.0	44.0	31.0	60.0	31.0	6782.0	121988.0
C037_S33_L001_R1_001	304.0	85.0	196.0	66.0	204.0	62.0	91.0	2776.0	88.0	89.0	3123.0	674.0	49.0	1430.0	76.0	34.0	33.0	42.0	44.0	36.0	49.0	42.0	6205.0	111907.0
C037_S33_L001_R2_001	314.0	87.0	202.0	67.0	213.0	64.0	92.0	2811.0	87.0	86.0	3168.0	690.0	51.0	1435.0	76.0	32.0	33.0	43.0	44.0	36.0	50.0	44.0	5336.0	112644.0
C038_S34_L001_R1_001	292.0	93.0	145.0	64.0	172.0	43.0	85.0	1819.0	86.0	75.0	2421.0	451.0	64.0	1175.0	66.0	27.0	23.0	40.0	45.0	29.0	41.0	25.0	5115.0	85226.0
C038_S34_L001_R2_001	293.0	95.0	146.0	62.0	174.0	44.0	85.0	1814.0	89.0	76.0	2431.0	451.0	64.0	1178.0	65.0	27.0	22.0	42.0	45.0	31.0	39.0	22.0	4721.0	85606.0
C039_S35_L001_R1_001	253.0	89.0	172.0	59.0	225.0	55.0	91.0	1842.0	93.0	66.0	2600.0	512.0	68.0	1584.0	92.0	43.0	29.0	51.0	48.0	39.0	60.0	48.0	7297.0	113350.0
C039_S35_L001_R2_001	250.0	85.0	174.0	62.0	223.0	55.0	93.0	1843.0	93.0	66.0	2589.0	512.0	65.0	1584.0	91.0	42.0	30.0	51.0	48.0	37.0	64.0	48.0	6413.0	114248.0
C040_S36_L001_R1_001	321.0	115.0	229.0	74.0	243.0	62.0	119.0	2822.0	105.0	94.0	3103.0	719.0	64.0	1801.0	119.0	35.0	43.0	51.0	55.0	42.0	53.0	32.0	8095.0	127358.0
C040_S36_L001_R2_001	322.0	119.0	228.0	74.0	244.0	63.0	119.0	2845.0	106.0	95.0	3152.0	730.0	64.0	1808.0	118.0	33.0	41.0	55.0	54.0	41.0	51.0	31.0	7084.0	128277.0
C041_S37_L001_R1_001	568.0	201.0	429.0	140.0	434.0	132.0	257.0	4984.0	199.0	178.0	5870.0	1251.0	134.0	2791.0	174.0	59.0	58.0	73.0	100.0	86.0	106.0	68.0	13426.0	218409.0
C041_S37_L001_R2_001	571.0	203.0	446.0	145.0	446.0	133.0	260.0	5102.0	204.0	179.0	5989.0	1280.0	145.0	2873.0	177.0	61.0	58.0	76.0	99.0	86.0	108.0	66.0	11729.0	219691.0
C042_S38_L001_R1_001	314.0	124.0	217.0	89.0	241.0	85.0	127.0	2730.0	133.0	98.0	3624.0	661.0	72.0	1929.0	120.0	38.0	44.0	56.0	61.0	46.0	59.0	41.0	8437.0	131536.0
C042_S38_L001_R2_001	321.0	126.0	218.0	93.0	249.0	85.0	131.0	2786.0	135.0	97.0	3687.0	682.0	72.0	1978.0	120.0	38.0	44.0	57.0	61.0	46.0	59.0	40.0	7460.0	132297.0
C043_S39_L001_R1_001	202.0	103.0	169.0	66.0	142.0	56.0	118.0	1928.0	54.0	67.0	2083.0	469.0	51.0	1120.0	77.0	40.0	33.0	36.0	32.0	28.0	31.0	27.0	5025.0	80239.0
C043_S39_L001_R2_001	208.0	105.0	165.0	67.0	147.0	57.0	113.0	1952.0	55.0	66.0	2110.0	472.0	52.0	1140.0	78.0	38.0	32.0	36.0	31.0	27.0	31.0	27.0	4209.0	80978.0
C044_S40_L001_R1_001	146.0	69.0	104.0	55.0	158.0	34.0	82.0	1634.0	67.0	65.0	1961.0	426.0	33.0	973.0	59.0	15.0	25.0	34.0	29.0	29.0	45.0	29.0	4426.0	70367.0
C044_S40_L001_R2_001	145.0	69.0	110.0	59.0	158.0	38.0	84.0	1665.0	66.0	65.0	2009.0	431.0	34.0	994.0	58.0	17.0	26.0	35.0	29.0	31.0	46.0	29.0	3924.0	70743.0
C045_S41_L001_R1_001	1762.0	992.0	1019.0	965.0	1016.0	912.0	917.0	2010.0	767.0	865.0	2185.0	1004.0	1045.0	1422.0	701.0	608.0	607.0	655.0	616.0	569.0	615.0	514.0	5461.0	69048.0
C045_S41_L001_R2_001	1778.0	1007.0	1035.0	982.0	1020.0	922.0	937.0	2039.0	772.0	883.0	2224.0	1017.0	1048.0	1439.0	708.0	609.0	631.0	658.0	611.0	572.0	621.0	520.0	5101.0	69141.0
C046_S42_L001_R1_001	275.0	98.0	189.0	70.0	249.0	63.0	123.0	2549.0	127.0	101.0	3325.0	659.0	68.0	1494.0	74.0	33.0	39.0	41.0	44.0	30.0	54.0	33.0	7283.0	112884.0
C046_S42_L001_R2_001	279.0	101.0	198.0	70.0	252.0	64.0	121.0	2590.0	132.0	100.0	3359.0	674.0	70.0	1524.0	80.0	32.0	39.0	46.0	44.0	29.0	53.0	36.0	6010.0	114002.0
C047_S43_L001_R1_001	347.0	96.0	240.0	78.0	245.0	72.0	132.0	2706.0	113.0	106.0	3441.0	724.0	58.0	1763.0	110.0	39.0	44.0	48.0	65.0	45.0	89.0	40.0	8410.0	132940.0
C047_S43_L001_R2_001	340.0	99.0	236.0	77.0	248.0	76.0	136.0	2728.0	115.0	108.0	3470.0	735.0	60.0	1778.0	112.0	38.0	41.0	49.0	62.0	44.0	86.0	40.0	7296.0	133977.0
C048_S44_L001_R1_001	422.0	143.0	271.0	103.0	287.0	84.0	125.0	3219.0	126.0	126.0	3692.0	796.0	80.0	1794.0	117.0	38.0	36.0	59.0	69.0	39.0	54.0	56.0	9268.0	143533.0
C048_S44_L001_R2_001	424.0	141.0	277.0	107.0	295.0	83.0	122.0	3266.0	128.0	128.0	3770.0	809.0	81.0	1825.0	123.0	38.0	38.0	60.0	67.0	38.0	54.0	59.0	7869.0	144735.0
C049_S45_L001_R1_001	30.0	2.0	0.0	2.0	4.0	0.0	4.0	3.0	4.0	2.0	91.0	2.0	2.0	30.0	5.0	0.0	5.0	1.0	4.0	8.0	1.0	1.0	230.0	5060.0
C049_S45_L001_R2_001	30.0	2.0	0.0	2.0	4.0	0.0	4.0	2.0	4.0	2.0	94.0	3.0	2.0	28.0	5.0	0.0	4.0	1.0	4.0	8.0	1.0	1.0	238.0	5052.0
C050_S46_L001_R1_001	286.0	129.0	202.0	82.0	212.0	64.0	125.0	2283.0	68.0	90.0	2567.0	546.0	75.0	1363.0	85.0	47.0	47.0	49.0	44.0	44.0	57.0	44.0	6482.0	99541.0
C050_S46_L001_R2_001	292.0	127.0	206.0	80.0	214.0	70.0	126.0	2297.0	67.0	95.0	2579.0	549.0	76.0	1347.0	87.0	46.0	46.0	49.0	45.0	43.0	57.0	44.0	5533.0	100457.0
C051_S47_L001_R1_001	274.0	94.0	174.0	75.0	216.0	63.0	98.0	2462.0	100.0	84.0	3157.0	547.0	65.0	1558.0	84.0	31.0	40.0	44.0	48.0	37.0	40.0	27.0	7214.0	112181.0
C051_S47_L001_R2_001	274.0	95.0	177.0	76.0	222.0	65.0	102.0	2495.0	97.0	85.0	3194.0	550.0	65.0	1583.0	86.0	31.0	38.0	48.0	46.0	39.0	41.0	26.0	6382.0	112896.0
C052_S48_L001_R1_001	262.0	108.0	171.0	68.0	178.0	45.0	86.0	1969.0	80.0	73.0	2485.0	502.0	42.0	1314.0	79.0	32.0	29.0	42.0	47.0	44.0	42.0	39.0	6117.0	93978.0
C052_S48_L001_R2_001	261.0	113.0	170.0	71.0	181.0	47.0	92.0	1998.0	79.0	75.0	2541.0	516.0	43.0	1329.0	79.0	29.0	31.0	40.0	47.0	46.0	42.0	42.0	5366.0	94594.0
C053_S49_L001_R1_001	583.0	189.0	334.0	107.0	319.0	111.0	176.0	3614.0	180.0	146.0	4601.0	1018.0	91.0	2582.0	175.0	49.0	68.0	63.0	90.0	60.0	79.0	61.0	12935.0	186451.0
C053_S49_L001_R2_001	569.0	189.0	329.0	104.0	327.0	110.0	173.0	3602.0	180.0	150.0	4587.0	1021.0	96.0	2571.0	172.0	48.0	68.0	67.0	92.0	61.0	82.0	63.0	11256.0	188165.0
C054_S50_L001_R1_001	257.0	106.0	186.0	86.0	202.0	61.0	124.0	2248.0	97.0	92.0	3251.0	494.0	67.0	1514.0	81.0	38.0	37.0	47.0	50.0	39.0	47.0	40.0	6860.0	104877.0
C054_S50_L001_R2_001	254.0	106.0	190.0	85.0	207.0	63.0	126.0	2248.0	97.0	94.0	3287.0	495.0	68.0	1518.0	83.0	40.0	36.0	47.0	51.0	38.0	45.0	40.0	5926.0	105757.0
C055_S51_L001_R1_001	387.0	174.0	257.0	159.0	317.0	127.0	142.0	1997.0	188.0	128.0	2854.0	589.0	125.0	1631.0	137.0	65.0	77.0	96.0	112.0	66.0	118.0	78.0	7682.0	114373.0
